entity_id,canonical_name,draft_m,congestion,location_lat,location_lon,tier,source,as_of,notes
port_vadinar,Vadinar,23.0,0.0,22.47,69.77,real,Deendayal-port,2024,draft real; congestion EST-congestion (live from AIS)
port_sikka,Sikka,23.0,0.0,22.60,69.87,real,Shipnext-ports,2024,draft real (VLCC 350k DWT); congestion EST-congestion
port_yanbu,Yanbu,24.0,0.0,24.09,38.05,real,Petroline-wiki,2024,Petroline western terminal; congestion EST-congestion
port_fujairah,Fujairah,23.0,0.0,25.11,56.34,real,Shipnext-ports,2024,ADCOP terminal; congestion EST-congestion
